 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 04/09/2010   21:43:27
 ---------------------------------------------------------------------------------------------------------------------------------- 

21:43:27  |  General  |  Info  |  * Initialise: SkinManager  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_skinmanager.cpp  |  40
21:43:27  |  General  |  Info  |  SkinManager successfully initialized  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_skinmanager.cpp  |  46
21:43:27  |  General  |  Info  |  * Initialise: FontManager  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_fontmanager.cpp  |  44
21:43:27  |  General  |  Info  |  FontManager successfully initialized  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_fontmanager.cpp  |  48
21:43:27  |  General  |  Info  |  * Initialise: ControllerManager  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_controllermanager.cpp  |  36
21:43:27  |  General  |  Info  |  ControllerManager successfully initialized  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_controllermanager.cpp  |  40
21:43:27  |  General  |  Info  |  * Initialise: PointerManager  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_pointermanager.cpp  |  41
21:43:27  |  General  |  Info  |  PointerManager successfully initialized  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_pointermanager.cpp  |  50
21:43:27  |  General  |  Info  |  * Initialise: ClipboardManager  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_clipboardmanager.cpp  |  35
21:43:27  |  General  |  Info  |  ClipboardManager successfully initialized  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_clipboardmanager.cpp  |  44
21:43:27  |  General  |  Info  |  * Initialise: LayoutManager  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_layoutmanager.cpp  |  41
21:43:27  |  General  |  Info  |  LayoutManager successfully initialized  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_layoutmanager.cpp  |  47
21:43:27  |  General  |  Info  |  * Initialise: DynLibManager  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_dynlibmanager.cpp  |  34
21:43:27  |  General  |  Info  |  DynLibManager successfully initialized  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_dynlibmanager.cpp  |  36
21:43:27  |  General  |  Info  |  * Initialise: PluginManager  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_pluginmanager.cpp  |  36
21:43:27  |  General  |  Info  |  PluginManager successfully initialized  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_pluginmanager.cpp  |  40
21:43:27  |  General  |  Info  |  * Initialise: LanguageManager  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_languagemanager.cpp  |  37
21:43:27  |  General  |  Info  |  LanguageManager successfully initialized  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_languagemanager.cpp  |  44
21:43:27  |  General  |  Error  |  ResourceManager : 'core.xml', 'Failed to open XML file' ,  file='core.xml' ,  line=0 ,  col=0  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_resourcemanager.cpp  |  204
21:43:27  |  General  |  Info  |  Gui successfully initialized  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_gui.cpp  |  112
21:43:27  |  General  |  Warning  |  Skin 'Button' not found, set Default  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_skinmanager.cpp  |  73
21:43:27  |  General  |  Critical  |  Layer 'Main' is not found  |  z:\parker and holt\mygui2.2.3_source\myguiengine\src\mygui_layermanager.cpp  |  199
