 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 04/03/2010   17:34:06
 ---------------------------------------------------------------------------------------------------------------------------------- 

17:34:06  |  General  |  Info  |  * Initialise: DynLibManager  |  .\src\MyGUI_DynLibManager.cpp  |  34
17:34:06  |  General  |  Info  |  DynLibManager successfully initialized  |  .\src\MyGUI_DynLibManager.cpp  |  36
17:34:06  |  General  |  Info  |  * Initialise: PluginManager  |  .\src\MyGUI_PluginManager.cpp  |  36
17:34:06  |  General  |  Info  |  PluginManager successfully initialized  |  .\src\MyGUI_PluginManager.cpp  |  40
17:34:06  |  General  |  Info  |  * Initialise: LanguageManager  |  .\src\MyGUI_LanguageManager.cpp  |  37
17:34:06  |  General  |  Info  |  LanguageManager successfully initialized  |  .\src\MyGUI_LanguageManager.cpp  |  44
17:34:06  |  General  |  Info  |  Load ini file 'core_keyboard.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:34:06  |  General  |  Info  |  Load ini file 'core_language.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:34:06  |  General  |  Info  |  Load ini file 'core_layer.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:34:06  |  General  |  Info  |  Load ini file 'core_font.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:34:06  |  General  |  Info  |  Load ini file 'core_theme.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:34:06  |  General  |  Info  |  Load ini file 'core_resource.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:34:06  |  General  |  Info  |  Load ini file 'core_skin.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:34:06  |  General  |  Info  |  Load ini file 'core_pointer.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
17:34:06  |  General  |  Info  |  Gui successfully initialized  |  .\src\MyGUI_Gui.cpp  |  112
17:34:06  |  General  |  Info  |  Font 'Default' using texture size 512 x 256  |  .\src\MyGUI_Font.cpp  |  218
17:34:06  |  General  |  Info  |  Font 'Default' using real height 17 pixels  |  .\src\MyGUI_Font.cpp  |  219
17:34:10  |  General  |  Info  |  * Shutdown: Gui  |  .\src\MyGUI_Gui.cpp  |  119
17:34:10  |  General  |  Info  |  * Shutdown: PointerManager  |  .\src\MyGUI_PointerManager.cpp  |  57
17:34:10  |  General  |  Info  |  PointerManager successfully shutdown  |  .\src\MyGUI_PointerManager.cpp  |  67
17:34:10  |  General  |  Info  |  * Shutdown: InputManager  |  .\src\MyGUI_InputManager.cpp  |  81
17:34:10  |  General  |  Info  |  InputManager successfully shutdown  |  .\src\MyGUI_InputManager.cpp  |  87
17:34:10  |  General  |  Info  |  * Shutdown: SkinManager  |  .\src\MyGUI_SkinManager.cpp  |  53
17:34:10  |  General  |  Info  |  SkinManager successfully shutdown  |  .\src\MyGUI_SkinManager.cpp  |  64
17:34:10  |  General  |  Info  |  * Shutdown: SubWidgetManager  |  .\src\MyGUI_SubWidgetManager.cpp  |  56
17:34:10  |  General  |  Info  |  SubWidgetManager successfully shutdown  |  .\src\MyGUI_SubWidgetManager.cpp  |  67
17:34:10  |  General  |  Info  |  * Shutdown: LayerManager  |  .\src\MyGUI_LayerManager.cpp  |  80
17:34:10  |  General  |  Info  |  destroy layer 'Back'  |  .\src\MyGUI_LayerManager.cpp  |  292
17:34:10  |  General  |  Info  |  destroy layer 'Overlapped'  |  .\src\MyGUI_LayerManager.cpp  |  292
17:34:10  |  General  |  Info  |  destroy layer 'Middle'  |  .\src\MyGUI_LayerManager.cpp  |  292
17:34:10  |  General  |  Info  |  destroy layer 'Modal'  |  .\src\MyGUI_LayerManager.cpp  |  292
17:34:10  |  General  |  Info  |  destroy layer 'Main'  |  .\src\MyGUI_LayerManager.cpp  |  292
17:34:10  |  General  |  Info  |  destroy layer 'Popup'  |  .\src\MyGUI_LayerManager.cpp  |  292
17:34:10  |  General  |  Info  |  destroy layer 'FadeMiddle'  |  .\src\MyGUI_LayerManager.cpp  |  292
17:34:10  |  General  |  Info  |  destroy layer 'Info'  |  .\src\MyGUI_LayerManager.cpp  |  292
17:34:10  |  General  |  Info  |  destroy layer 'ToolTip'  |  .\src\MyGUI_LayerManager.cpp  |  292
17:34:10  |  General  |  Info  |  destroy layer 'DragAndDrop'  |  .\src\MyGUI_LayerManager.cpp  |  292
17:34:10  |  General  |  Info  |  destroy layer 'FadeBusy'  |  .\src\MyGUI_LayerManager.cpp  |  292
17:34:10  |  General  |  Info  |  destroy layer 'Pointer'  |  .\src\MyGUI_LayerManager.cpp  |  292
